iteracion,subset,f1_score
245,"['having_Sub_Domain', 'URL_of_Anchor', 'having_At_Symbol', 'Abnormal_URL', 'SSLfinal_State']",0.9141414141414141
212,"['having_Sub_Domain', 'Shortining_Service', 'SSLfinal_State', 'age_of_domain', 'URL_of_Anchor']",0.9131313131313131
392,"['Domain_registeration_length', 'Redirect', 'SSLfinal_State', 'web_traffic', 'URL_of_Anchor']",0.9126117179741807
379,"['SSLfinal_State', 'URL_of_Anchor', 'port', 'Page_Rank', 'Links_in_tags']",0.9110212335692619
970,"['Submitting_to_email', 'SSLfinal_State', 'URL_of_Anchor', 'SFH', 'URL_Length']",0.9108409321175278
832,"['Abnormal_URL', 'URL_of_Anchor', 'Links_in_tags', 'SSLfinal_State', 'web_traffic']",0.9106425702811245
493,"['SSLfinal_State', 'URL_of_Anchor', 'RightClick', 'web_traffic', 'on_mouseover']",0.91063404892661
772,"['URL_of_Anchor', 'SSLfinal_State', 'Page_Rank', 'Shortining_Service', 'port']",0.9095502779181405
174,"['SSLfinal_State', 'SFH', 'Domain_registeration_length', 'URL_of_Anchor', 'having_IP_Address']",0.9089989888776542
775,"['SSLfinal_State', 'HTTPS_token', 'Abnormal_URL', 'Request_URL', 'URL_of_Anchor']",0.908816120906801
273,"['Abnormal_URL', 'URL_of_Anchor', 'Shortining_Service', 'SSLfinal_State', 'Page_Rank']",0.9086320040383644
234,"['DNSRecord', 'URL_of_Anchor', 'on_mouseover', 'web_traffic', 'SSLfinal_State']",0.9064676616915422
301,"['SSLfinal_State', 'age_of_domain', 'Shortining_Service', 'URL_of_Anchor', 'having_At_Symbol']",0.90625
818,"['URL_of_Anchor', 'having_At_Symbol', 'having_IP_Address', 'Domain_registeration_length', 'SSLfinal_State']",0.9058704453441295
305,"['HTTPS_token', 'URL_of_Anchor', 'double_slash_redirecting', 'SSLfinal_State', 'Submitting_to_email']",0.9055276381909547
966,"['Statistical_report', 'URL_of_Anchor', 'having_IP_Address', 'SSLfinal_State', 'Abnormal_URL']",0.9045936395759717
422,"['URL_of_Anchor', 'Google_Index', 'having_At_Symbol', 'SSLfinal_State', 'Redirect']",0.9040404040404041
632,"['SSLfinal_State', 'RightClick', 'URL_Length', 'having_At_Symbol', 'URL_of_Anchor']",0.9039718451483157
955,"['SSLfinal_State', 'port', 'URL_of_Anchor', 'Statistical_report', 'age_of_domain']",0.902672718103883
899,"['SSLfinal_State', 'URL_of_Anchor', 'RightClick', 'Shortining_Service', 'Iframe']",0.9019019019019019
216,"['Iframe', 'SSLfinal_State', 'Favicon', 'popUpWidnow', 'Redirect']",0.8991008991008991
901,"['double_slash_redirecting', 'Redirect', 'SSLfinal_State', 'Submitting_to_email', 'popUpWidnow']",0.8950770760815515
496,"['Submitting_to_email', 'Redirect', 'SSLfinal_State', 'Iframe', 'double_slash_redirecting']",0.8950770760815515
5,"['SSLfinal_State', 'Submitting_to_email', 'on_mouseover', 'having_IP_Address', 'Abnormal_URL']",0.8928571428571429
703,"['Links_pointing_to_page', 'double_slash_redirecting', 'popUpWidnow', 'Submitting_to_email', 'SSLfinal_State']",0.8928571428571429
750,"['having_At_Symbol', 'Statistical_report', 'Submitting_to_email', 'double_slash_redirecting', 'SSLfinal_State']",0.8924144769459593
663,"['Favicon', 'HTTPS_token', 'on_mouseover', 'SSLfinal_State', 'double_slash_redirecting']",0.8919722497522299
711,"['SSLfinal_State', 'Favicon', 'Google_Index', 'Iframe', 'double_slash_redirecting']",0.8919722497522299
86,"['having_Sub_Domain', 'popUpWidnow', 'Iframe', 'port', 'SSLfinal_State']",0.8917449332674247
24,"['SSLfinal_State', 'popUpWidnow', 'port', 'Page_Rank', 'DNSRecord']",0.8915304606240714
2,"['SSLfinal_State', 'double_slash_redirecting', 'age_of_domain', 'having_At_Symbol', 'popUpWidnow']",0.8910891089108911
702,"['popUpWidnow', 'Page_Rank', 'port', 'SSLfinal_State', 'Favicon']",0.8910891089108911
845,"['double_slash_redirecting', 'port', 'having_At_Symbol', 'SSLfinal_State', 'Favicon']",0.8910891089108911
55,"['SSLfinal_State', 'Shortining_Service', 'port', 'having_IP_Address', 'Redirect']",0.8910891089108911
754,"['Iframe', 'SSLfinal_State', 'Favicon', 'popUpWidnow', 'Page_Rank']",0.8910891089108911
484,"['Request_URL', 'Shortining_Service', 'HTTPS_token', 'SSLfinal_State', 'having_IP_Address']",0.8906481939633845
638,"['DNSRecord', 'Shortining_Service', 'RightClick', 'Redirect', 'SSLfinal_State']",0.8906481939633845
700,"['Submitting_to_email', 'Favicon', 'SSLfinal_State', 'Page_Rank', 'Statistical_report']",0.8902077151335311
92,"['Links_pointing_to_page', 'Shortining_Service', 'SSLfinal_State', 'HTTPS_token', 'Favicon']",0.8902077151335311
987,"['Shortining_Service', 'Iframe', 'SSLfinal_State', 'HTTPS_token', 'Request_URL']",0.8902077151335311
61,"['Links_pointing_to_page', 'Redirect', 'SFH', 'SSLfinal_State', 'web_traffic']",0.889985199802664
300,"['SSLfinal_State', 'RightClick', 'popUpWidnow', 'Statistical_report', 'Favicon']",0.8895612708018155
503,"['Shortining_Service', 'HTTPS_token', 'SSLfinal_State', 'age_of_domain', 'popUpWidnow']",0.8893280632411067
530,"['double_slash_redirecting', 'Shortining_Service', 'SSLfinal_State', 'DNSRecord', 'RightClick']",0.8893280632411067
743,"['SSLfinal_State', 'Shortining_Service', 'Iframe', 'double_slash_redirecting', 'having_IP_Address']",0.8893280632411067
165,"['Abnormal_URL', 'Shortining_Service', 'double_slash_redirecting', 'SSLfinal_State', 'Request_URL']",0.8893280632411067
