iteracion,subset,f1_score
245,"['having_Sub_Domain', 'URL_of_Anchor', 'having_At_Symbol', 'Abnormal_URL', 'SSLfinal_State']",0.9141414141414141
212,"['having_Sub_Domain', 'Shortining_Service', 'SSLfinal_State', 'age_of_domain', 'URL_of_Anchor']",0.9131313131313131
392,"['Domain_registeration_length', 'Redirect', 'SSLfinal_State', 'web_traffic', 'URL_of_Anchor']",0.9126117179741807
379,"['SSLfinal_State', 'URL_of_Anchor', 'port', 'Page_Rank', 'Links_in_tags']",0.9110212335692619
493,"['SSLfinal_State', 'URL_of_Anchor', 'RightClick', 'web_traffic', 'on_mouseover']",0.91063404892661
174,"['SSLfinal_State', 'SFH', 'Domain_registeration_length', 'URL_of_Anchor', 'having_IP_Address']",0.9089989888776542
273,"['Abnormal_URL', 'URL_of_Anchor', 'Shortining_Service', 'SSLfinal_State', 'Page_Rank']",0.9086320040383644
234,"['DNSRecord', 'URL_of_Anchor', 'on_mouseover', 'web_traffic', 'SSLfinal_State']",0.9064676616915422
301,"['SSLfinal_State', 'age_of_domain', 'Shortining_Service', 'URL_of_Anchor', 'having_At_Symbol']",0.90625
305,"['HTTPS_token', 'URL_of_Anchor', 'double_slash_redirecting', 'SSLfinal_State', 'Submitting_to_email']",0.9055276381909547
422,"['URL_of_Anchor', 'Google_Index', 'having_At_Symbol', 'SSLfinal_State', 'Redirect']",0.9040404040404041
216,"['Iframe', 'SSLfinal_State', 'Favicon', 'popUpWidnow', 'Redirect']",0.8991008991008991
496,"['Submitting_to_email', 'Redirect', 'SSLfinal_State', 'Iframe', 'double_slash_redirecting']",0.8950770760815515
5,"['SSLfinal_State', 'Submitting_to_email', 'on_mouseover', 'having_IP_Address', 'Abnormal_URL']",0.8928571428571429
86,"['having_Sub_Domain', 'popUpWidnow', 'Iframe', 'port', 'SSLfinal_State']",0.8917449332674247
24,"['SSLfinal_State', 'popUpWidnow', 'port', 'Page_Rank', 'DNSRecord']",0.8915304606240714
2,"['SSLfinal_State', 'double_slash_redirecting', 'age_of_domain', 'having_At_Symbol', 'popUpWidnow']",0.8910891089108911
55,"['SSLfinal_State', 'Shortining_Service', 'port', 'having_IP_Address', 'Redirect']",0.8910891089108911
484,"['Request_URL', 'Shortining_Service', 'HTTPS_token', 'SSLfinal_State', 'having_IP_Address']",0.8906481939633845
92,"['Links_pointing_to_page', 'Shortining_Service', 'SSLfinal_State', 'HTTPS_token', 'Favicon']",0.8902077151335311
61,"['Links_pointing_to_page', 'Redirect', 'SFH', 'SSLfinal_State', 'web_traffic']",0.889985199802664
300,"['SSLfinal_State', 'RightClick', 'popUpWidnow', 'Statistical_report', 'Favicon']",0.8895612708018155
165,"['Abnormal_URL', 'Shortining_Service', 'double_slash_redirecting', 'SSLfinal_State', 'Request_URL']",0.8893280632411067
233,"['Favicon', 'Shortining_Service', 'SSLfinal_State', 'having_At_Symbol', 'Abnormal_URL']",0.8888888888888888
56,"['Abnormal_URL', 'SSLfinal_State', 'Redirect', 'having_IP_Address', 'Shortining_Service']",0.8888888888888888
344,"['having_At_Symbol', 'SSLfinal_State', 'Links_pointing_to_page', 'Abnormal_URL', 'double_slash_redirecting']",0.8888888888888888
17,"['DNSRecord', 'Favicon', 'Shortining_Service', 'Google_Index', 'SSLfinal_State']",0.8886679920477137
184,"['HTTPS_token', 'SSLfinal_State', 'RightClick', 'Shortining_Service', 'DNSRecord']",0.8884501480750246
32,"['HTTPS_token', 'SSLfinal_State', 'double_slash_redirecting', 'Submitting_to_email', 'SFH']",0.8884501480750246
362,"['double_slash_redirecting', 'having_IP_Address', 'HTTPS_token', 'web_traffic', 'SSLfinal_State']",0.8882323978335795
147,"['double_slash_redirecting', 'having_IP_Address', 'URL_Length', 'SSLfinal_State', 'SFH']",0.8880118401578688
146,"['SSLfinal_State', 'popUpWidnow', 'Favicon', 'web_traffic', 'having_Sub_Domain']",0.8877952755905512
483,"['URL_Length', 'Request_URL', 'Submitting_to_email', 'HTTPS_token', 'SSLfinal_State']",0.8877952755905512
187,"['SSLfinal_State', 'double_slash_redirecting', 'SFH', 'popUpWidnow', 'having_At_Symbol']",0.8875739644970414
150,"['Iframe', 'Request_URL', 'SFH', 'SSLfinal_State', 'double_slash_redirecting']",0.8875739644970414
110,"['Links_pointing_to_page', 'HTTPS_token', 'having_Sub_Domain', 'popUpWidnow', 'SSLfinal_State']",0.8873585833743236
390,"['SFH', 'SSLfinal_State', 'Google_Index', 'having_At_Symbol', 'HTTPS_token']",0.8870168483647175
59,"['Submitting_to_email', 'SSLfinal_State', 'Domain_registeration_length', 'popUpWidnow', 'SFH']",0.8866995073891626
321,"['DNSRecord', 'web_traffic', 'SSLfinal_State', 'on_mouseover', 'HTTPS_token']",0.8864864864864865
492,"['having_At_Symbol', 'DNSRecord', 'Favicon', 'SSLfinal_State', 'URL_Length']",0.8863748155435317
47,"['Favicon', 'SSLfinal_State', 'URL_Length', 'Links_pointing_to_page', 'Redirect']",0.8860510805500982
471,"['Links_in_tags', 'SSLfinal_State', 'Abnormal_URL', 'Favicon', 'web_traffic']",0.8860510805500982
414,"['Abnormal_URL', 'Iframe', 'SSLfinal_State', 'Submitting_to_email', 'Page_Rank']",0.8858267716535433
213,"['SFH', 'Abnormal_URL', 'DNSRecord', 'SSLfinal_State', 'Iframe']",0.8858267716535433
205,"['Google_Index', 'SSLfinal_State', 'Page_Rank', 'Statistical_report', 'Shortining_Service']",0.8853754940711462
54,"['Links_pointing_to_page', 'Submitting_to_email', 'Links_in_tags', 'having_At_Symbol', 'SSLfinal_State']",0.8850687622789783
